Date,Event,Opponent,Map,Result,W/L
30/08/25,BLAST Open London 2025,G2,Mirage,13 - 10,W
30/08/25,BLAST Open London 2025,G2,Ancient,13 - 10,W
28/08/25,BLAST Open London 2025,Imperial,Nuke,13 - 7,W
28/08/25,BLAST Open London 2025,Imperial,Mirage,13 - 4,W
28/08/25,BLAST Open London 2025,Imperial,Overpass,2 - 13,L
22/08/25,Esports World Cup 2025,Falcons,Nuke,10 - 13,L
22/08/25,Esports World Cup 2025,Falcons,Inferno,13 - 8,W
22/08/25,Esports World Cup 2025,Falcons,Ancient,9 - 13,L
21/08/25,Esports World Cup 2025,Virtus.pro,Overpass,13 - 10,W
21/08/25,Esports World Cup 2025,Virtus.pro,Mirage,13 - 4,W
21/08/25,Esports World Cup 2025,Virtus.pro,Inferno,6 - 13,L
16/08/25,BLAST Bounty 2025 Season 2 Finals,Spirit,Mirage,5 - 13,L
16/08/25,BLAST Bounty 2025 Season 2 Finals,Spirit,Ancient,14 - 16,L
14/08/25,BLAST Bounty 2025 Season 2 Finals,Astralis,Mirage,13 - 4,W
14/08/25,BLAST Bounty 2025 Season 2 Finals,Astralis,Nuke,13 - 8,W
10/08/25,BLAST Bounty 2025 Season 2,B8,Train,13 - 11,W
10/08/25,BLAST Bounty 2025 Season 2,B8,Ancient,13 - 5,W
07/08/25,BLAST Bounty 2025 Season 2,OG,Mirage,13 - 5,W
07/08/25,BLAST Bounty 2025 Season 2,OG,Inferno,13 - 1,W
07/08/25,BLAST Bounty 2025 Season 2,OG,Nuke,9 - 13,L
03/08/25,IEM Cologne 2025,Spirit,Nuke,6 - 13,L
03/08/25,IEM Cologne 2025,Spirit,Ancient,11 - 13,L
03/08/25,IEM Cologne 2025,Spirit,Mirage,7 - 13,L
02/08/25,IEM Cologne 2025,Vitality,Train,13 - 8,W
02/08/25,IEM Cologne 2025,Vitality,Mirage,13 - 9,W
01/08/25,IEM Cologne 2025,FURIA,Inferno,13 - 11,W
01/08/25,IEM Cologne 2025,FURIA,Mirage,10 - 13,L
01/08/25,IEM Cologne 2025,FURIA,Train,19 - 16,W
29/07/25,IEM Cologne 2025,Spirit,Overpass,6 - 13,L
29/07/25,IEM Cologne 2025,Spirit,Mirage,22 - 19,W
29/07/25,IEM Cologne 2025,Spirit,Ancient,13 - 16,L
28/07/25,IEM Cologne 2025,Natus Vincere,Nuke,13 - 10,W
28/07/25,IEM Cologne 2025,Natus Vincere,Mirage,13 - 10,W
27/07/25,IEM Cologne 2025,Liquid,Train,13 - 9,W
27/07/25,IEM Cologne 2025,Liquid,Inferno,13 - 7,W
21/06/25,BLAST.tv Austin Major 2025,Vitality,Train,6 - 13,L
21/06/25,BLAST.tv Austin Major 2025,Vitality,Inferno,13 - 4,W
21/06/25,BLAST.tv Austin Major 2025,Vitality,Mirage,8 - 13,L
19/06/25,BLAST.tv Austin Major 2025,Spirit,Nuke,13 - 10,W
19/06/25,BLAST.tv Austin Major 2025,Spirit,Dust2,13 - 9,W
19/06/25,BLAST.tv Austin Major 2025,Spirit,Mirage,21 - 25,L
15/06/25,BLAST.tv Austin Major 2025,Legacy,Nuke,13 - 10,W
15/06/25,BLAST.tv Austin Major 2025,Legacy,Inferno,13 - 11,W
15/06/25,BLAST.tv Austin Major 2025,Legacy,Ancient,4 - 13,L
14/06/25,BLAST.tv Austin Major 2025,Aurora,Mirage,13 - 6,W
14/06/25,BLAST.tv Austin Major 2025,Aurora,Inferno,11 - 13,L
14/06/25,BLAST.tv Austin Major 2025,Aurora,Train,13 - 10,W
13/06/25,BLAST.tv Austin Major 2025,Liquid,Mirage,22 - 19,W
13/06/25,BLAST.tv Austin Major 2025,Liquid,Nuke,4 - 13,L
13/06/25,BLAST.tv Austin Major 2025,Liquid,Dust2,13 - 8,W
12/06/25,BLAST.tv Austin Major 2025,FaZe,Ancient,10 - 13,L
12/06/25,BLAST.tv Austin Major 2025,Virtus.pro,Mirage,11 - 13,L
25/05/25,IEM Dallas 2025,Vitality,Inferno,8 - 13,L
25/05/25,IEM Dallas 2025,Vitality,Mirage,9 - 13,L
25/05/25,IEM Dallas 2025,Vitality,Dust2,11 - 13,L
24/05/25,IEM Dallas 2025,The MongolZ,Nuke,13 - 11,W
24/05/25,IEM Dallas 2025,The MongolZ,Inferno,13 - 11,W
21/05/25,IEM Dallas 2025,Falcons,Mirage,16 - 12,W
21/05/25,IEM Dallas 2025,Falcons,Dust2,13 - 4,W
20/05/25,IEM Dallas 2025,Liquid,Train,13 - 2,W
20/05/25,IEM Dallas 2025,Liquid,Inferno,13 - 8,W
19/05/25,IEM Dallas 2025,BC.Game,Mirage,13 - 9,W
19/05/25,IEM Dallas 2025,BC.Game,Dust2,13 - 9,W
03/05/25,BLAST Rivals 2025 Season 1,Falcons,Dust2,6 - 13,L
03/05/25,BLAST Rivals 2025 Season 1,Falcons,Nuke,14 - 16,L
02/05/25,BLAST Rivals 2025 Season 1,FaZe,Mirage,13 - 2,W
02/05/25,BLAST Rivals 2025 Season 1,FaZe,Dust2,13 - 11,W
01/05/25,BLAST Rivals 2025 Season 1,Vitality,Train,8 - 13,L
01/05/25,BLAST Rivals 2025 Season 1,Vitality,Inferno,9 - 13,L
01/05/25,BLAST Rivals 2025 Season 1,Vitality,Mirage,13 - 9,W
30/04/25,BLAST Rivals 2025 Season 1,paiN,Dust2,13 - 0,W
30/04/25,BLAST Rivals 2025 Season 1,paiN,Inferno,11 - 13,L
30/04/25,BLAST Rivals 2025 Season 1,paiN,Nuke,13 - 9,W
26/04/25,IEM Melbourne 2025,Falcons,Nuke,6 - 13,L
26/04/25,IEM Melbourne 2025,Falcons,Dust2,3 - 13,L
23/04/25,IEM Melbourne 2025,The MongolZ,Nuke,13 - 7,W
23/04/25,IEM Melbourne 2025,The MongolZ,Mirage,13 - 9,W
22/04/25,IEM Melbourne 2025,GamerLegion,Nuke,16 - 13,W
22/04/25,IEM Melbourne 2025,GamerLegion,Inferno,13 - 6,W
21/04/25,IEM Melbourne 2025,BIG,Ancient,13 - 8,W
21/04/25,IEM Melbourne 2025,BIG,Mirage,13 - 9,W
21/04/25,IEM Melbourne 2025,BIG,Inferno,6 - 13,L
30/03/25,BLAST Open Lisbon 2025,Vitality,Train,7 - 13,L
30/03/25,BLAST Open Lisbon 2025,Vitality,Nuke,7 - 13,L
30/03/25,BLAST Open Lisbon 2025,Vitality,Dust2,13 - 11,W
30/03/25,BLAST Open Lisbon 2025,Vitality,Mirage,13 - 11,W
30/03/25,BLAST Open Lisbon 2025,Vitality,Inferno,0 - 13,L
29/03/25,BLAST Open Lisbon 2025,Eternal Fire,Dust2,13 - 10,W
29/03/25,BLAST Open Lisbon 2025,Eternal Fire,Nuke,13 - 11,W
28/03/25,BLAST Open Lisbon 2025,G2,Nuke,13 - 3,W
28/03/25,BLAST Open Lisbon 2025,G2,Inferno,13 - 8,W
24/03/25,BLAST Open Lisbon 2025,Vitality,Dust2,11 - 13,L
24/03/25,BLAST Open Lisbon 2025,Vitality,Mirage,11 - 13,L
21/03/25,BLAST Open Lisbon 2025,Spirit,Ancient,25 - 22,W
21/03/25,BLAST Open Lisbon 2025,Spirit,Nuke,16 - 13,W
21/03/25,BLAST Open Lisbon 2025,Spirit,Dust2,3 - 13,L
19/03/25,BLAST Open Lisbon 2025,Falcons,Ancient,13 - 10,W
19/03/25,BLAST Open Lisbon 2025,Falcons,Train,13 - 11,W
16/03/25,ESL Pro League Season 21,Vitality,Inferno,5 - 13,L
16/03/25,ESL Pro League Season 21,Vitality,Nuke,4 - 13,L
16/03/25,ESL Pro League Season 21,Vitality,Dust2,9 - 13,L
15/03/25,ESL Pro League Season 21,Spirit,Ancient,13 - 10,W
15/03/25,ESL Pro League Season 21,Spirit,Dust2,7 - 13,L
15/03/25,ESL Pro League Season 21,Spirit,Nuke,16 - 14,W
13/03/25,ESL Pro League Season 21,G2,Ancient,13 - 11,W
13/03/25,ESL Pro League Season 21,G2,Nuke,13 - 8,W
13/03/25,ESL Pro League Season 21,G2,Inferno,11 - 13,L
10/03/25,ESL Pro League Season 21,Liquid,Nuke,13 - 4,W
10/03/25,ESL Pro League Season 21,Liquid,Ancient,13 - 8,W
09/03/25,ESL Pro League Season 21,Vitality,Dust2,7 - 13,L
09/03/25,ESL Pro League Season 21,Vitality,Inferno,6 - 13,L
08/03/25,ESL Pro League Season 21,Falcons,Nuke,13 - 9,W
08/03/25,ESL Pro League Season 21,Falcons,Train,13 - 7,W
07/03/25,ESL Pro League Season 21,FURIA,Nuke,13 - 11,W
07/03/25,ESL Pro League Season 21,FURIA,Inferno,13 - 16,L
07/03/25,ESL Pro League Season 21,FURIA,Train,13 - 9,W
23/02/25,PGL Cluj-Napoca 2025,Falcons,Ancient,13 - 9,W
23/02/25,PGL Cluj-Napoca 2025,Falcons,Nuke,13 - 11,W
23/02/25,PGL Cluj-Napoca 2025,Falcons,Mirage,4 - 13,L
23/02/25,PGL Cluj-Napoca 2025,Falcons,Dust2,13 - 6,W
22/02/25,PGL Cluj-Napoca 2025,Astralis,Ancient,13 - 5,W
22/02/25,PGL Cluj-Napoca 2025,Astralis,Nuke,8 - 13,L
22/02/25,PGL Cluj-Napoca 2025,Astralis,Inferno,16 - 14,W
21/02/25,PGL Cluj-Napoca 2025,paiN,Mirage,13 - 11,W
21/02/25,PGL Cluj-Napoca 2025,paiN,Inferno,13 - 11,W
18/02/25,PGL Cluj-Napoca 2025,Virtus.pro,Mirage,13 - 2,W
18/02/25,PGL Cluj-Napoca 2025,Virtus.pro,Inferno,13 - 16,L
18/02/25,PGL Cluj-Napoca 2025,Virtus.pro,Ancient,13 - 8,W
17/02/25,PGL Cluj-Napoca 2025,Falcons,Ancient,8 - 13,L
17/02/25,PGL Cluj-Napoca 2025,Falcons,Mirage,10 - 13,L
17/02/25,PGL Cluj-Napoca 2025,Falcons,Dust2,13 - 8,W
16/02/25,PGL Cluj-Napoca 2025,FaZe,Mirage,7 - 13,L
16/02/25,PGL Cluj-Napoca 2025,FaZe,Ancient,11 - 13,L
15/02/25,PGL Cluj-Napoca 2025,3DMAX,Nuke,13 - 8,W
15/02/25,PGL Cluj-Napoca 2025,3DMAX,Inferno,13 - 9,W
14/02/25,PGL Cluj-Napoca 2025,BIG,Mirage,13 - 5,W
14/02/25,PGL Cluj-Napoca 2025,BIG,Ancient,16 - 13,W
03/02/25,IEM Katowice 2025,Liquid,Ancient,7 - 13,L
03/02/25,IEM Katowice 2025,Liquid,Nuke,7 - 13,L
01/02/25,IEM Katowice 2025,GamerLegion,Mirage,11 - 13,L
01/02/25,IEM Katowice 2025,GamerLegion,Inferno,9 - 13,L
17/01/25,BLAST Bounty 2025 Season 1,BetBoom,Mirage,11 - 13,L
17/01/25,BLAST Bounty 2025 Season 1,BetBoom,Nuke,7 - 13,L
17/01/25,BLAST Bounty 2025 Season 1,BetBoom,Dust2,19 - 17,W
14/12/24,Perfect World Shanghai Major 2024,Spirit,Mirage,7 - 13,L
14/12/24,Perfect World Shanghai Major 2024,Spirit,Ancient,4 - 13,L
14/12/24,Perfect World Shanghai Major 2024,Spirit,Nuke,13 - 7,W
12/12/24,Perfect World Shanghai Major 2024,The MongolZ,Nuke,13 - 9,W
12/12/24,Perfect World Shanghai Major 2024,The MongolZ,Ancient,16 - 14,W
08/12/24,Perfect World Shanghai Major 2024,MIBR,Nuke,13 - 6,W
08/12/24,Perfect World Shanghai Major 2024,MIBR,Mirage,13 - 5,W
07/12/24,Perfect World Shanghai Major 2024,3DMAX,Nuke,13 - 11,W
07/12/24,Perfect World Shanghai Major 2024,3DMAX,Dust2,13 - 11,W
06/12/24,Perfect World Shanghai Major 2024,FaZe,Inferno,10 - 13,L
05/12/24,Perfect World Shanghai Major 2024,The MongolZ,Mirage,13 - 16,L
05/12/24,Perfect World Shanghai Major 2024,paiN,Nuke,13 - 6,W
18/11/24,Perfect World Shanghai Major 2024 Europe RMR A,Natus Vincere,Inferno,13 - 7,W
18/11/24,Perfect World Shanghai Major 2024 Europe RMR A,Natus Vincere,Dust2,13 - 8,W
18/11/24,Perfect World Shanghai Major 2024 Europe RMR A,Natus Vincere,Mirage,4 - 13,L
17/11/24,Perfect World Shanghai Major 2024 Europe RMR A,Sangal,Mirage,13 - 3,W
17/11/24,Perfect World Shanghai Major 2024 Europe RMR A,Nemiga,Inferno,13 - 3,W
01/11/24,BLAST Premier World Final 2024,Vitality,Mirage,6 - 13,L
01/11/24,BLAST Premier World Final 2024,Vitality,Dust2,6 - 13,L
31/10/24,BLAST Premier World Final 2024,Astralis,Nuke,9 - 13,L
31/10/24,BLAST Premier World Final 2024,Astralis,Vertigo,7 - 13,L
30/10/24,BLAST Premier World Final 2024,FaZe,Nuke,13 - 11,W
30/10/24,BLAST Premier World Final 2024,FaZe,Inferno,16 - 13,W
13/10/24,IEM Rio 2024,Natus Vincere,Ancient,11 - 13,L
13/10/24,IEM Rio 2024,Natus Vincere,Mirage,13 - 6,W
13/10/24,IEM Rio 2024,Natus Vincere,Dust2,2 - 13,L
13/10/24,IEM Rio 2024,Natus Vincere,Inferno,11 - 13,L
12/10/24,IEM Rio 2024,FURIA,Mirage,13 - 3,W
12/10/24,IEM Rio 2024,FURIA,Nuke,13 - 3,W
11/10/24,IEM Rio 2024,Vitality,Inferno,13 - 10,W
11/10/24,IEM Rio 2024,Vitality,Nuke,13 - 11,W
11/10/24,IEM Rio 2024,Vitality,Mirage,7 - 13,L
09/10/24,IEM Rio 2024,FaZe,Nuke,13 - 7,W
09/10/24,IEM Rio 2024,FaZe,Mirage,14 - 16,L
09/10/24,IEM Rio 2024,FaZe,Dust2,13 - 7,W
08/10/24,IEM Rio 2024,Complexity,Inferno,16 - 12,W
08/10/24,IEM Rio 2024,Complexity,Vertigo,16 - 12,W
07/10/24,IEM Rio 2024,FURIA,Dust2,5 - 13,L
07/10/24,IEM Rio 2024,FURIA,Mirage,13 - 5,W
07/10/24,IEM Rio 2024,FURIA,Nuke,8 - 13,L
07/10/24,IEM Rio 2024,paiN,Dust2,13 - 11,W
15/09/24,ESL Pro League Season 20,Complexity,Ancient,10 - 13,L
15/09/24,ESL Pro League Season 20,Complexity,Vertigo,8 - 13,L
14/09/24,ESL Pro League Season 20,fnatic,Mirage,13 - 5,W
14/09/24,ESL Pro League Season 20,fnatic,Vertigo,13 - 3,W
12/09/24,ESL Pro League Season 20,Complexity,Nuke,6 - 13,L
12/09/24,ESL Pro League Season 20,Complexity,Vertigo,8 - 13,L
11/09/24,ESL Pro League Season 20,Imperial,Inferno,13 - 16,L
11/09/24,ESL Pro League Season 20,Imperial,Dust2,14 - 16,L
10/09/24,ESL Pro League Season 20,Rooster,Inferno,13 - 6,W
10/09/24,ESL Pro League Season 20,Rooster,Vertigo,19 - 15,W
10/09/24,ESL Pro League Season 20,Rooster,Mirage,8 - 13,L
31/08/24,BetBoom Dacha Belgrade Season 2,Eternal Fire,Nuke,17 - 19,L
31/08/24,BetBoom Dacha Belgrade Season 2,Eternal Fire,Dust2,10 - 13,L
30/08/24,BetBoom Dacha Belgrade Season 2,Spirit,Ancient,11 - 13,L
30/08/24,BetBoom Dacha Belgrade Season 2,Spirit,Mirage,16 - 14,W
30/08/24,BetBoom Dacha Belgrade Season 2,Spirit,Nuke,9 - 13,L
29/08/24,BetBoom Dacha Belgrade Season 2,paiN,Nuke,13 - 7,W
29/08/24,BetBoom Dacha Belgrade Season 2,paiN,Mirage,13 - 6,W
29/08/24,BetBoom Dacha Belgrade Season 2,paiN,Vertigo,12 - 16,L
28/08/24,BetBoom Dacha Belgrade Season 2,Eternal Fire,Nuke,13 - 3,W
28/08/24,BetBoom Dacha Belgrade Season 2,Eternal Fire,Inferno,13 - 8,W
17/08/24,IEM Cologne 2024,Natus Vincere,Mirage,11 - 13,L
17/08/24,IEM Cologne 2024,Natus Vincere,Inferno,14 - 16,L
16/08/24,IEM Cologne 2024,G2,Mirage,13 - 8,W
16/08/24,IEM Cologne 2024,G2,Dust2,13 - 9,W
13/08/24,IEM Cologne 2024,Vitality,Vertigo,13 - 16,L
13/08/24,IEM Cologne 2024,Vitality,Dust2,6 - 13,L
12/08/24,IEM Cologne 2024,Complexity,Nuke,13 - 11,W
12/08/24,IEM Cologne 2024,Complexity,Vertigo,13 - 9,W
11/08/24,IEM Cologne 2024,Falcons,Ancient,13 - 9,W
11/08/24,IEM Cologne 2024,Falcons,Vertigo,11 - 13,L
11/08/24,IEM Cologne 2024,Falcons,Nuke,13 - 6,W
20/07/24,Esports World Cup 2024,Natus Vincere,Mirage,5 - 13,L
20/07/24,Esports World Cup 2024,Natus Vincere,Nuke,8 - 13,L
20/07/24,Esports World Cup 2024,Natus Vincere,Dust2,13 - 1,W
19/07/24,Esports World Cup 2024,FURIA,Inferno,13 - 7,W
19/07/24,Esports World Cup 2024,FURIA,Mirage,11 - 13,L
19/07/24,Esports World Cup 2024,FURIA,Nuke,13 - 7,W
17/07/24,Esports World Cup 2024,Sashi,Mirage,13 - 5,W
17/07/24,Esports World Cup 2024,Sashi,Ancient,13 - 7,W
17/07/24,Esports World Cup 2024,Sashi,Nuke,11 - 13,L
29/05/24,IEM Dallas 2024,G2,Ancient,10 - 13,L
29/05/24,IEM Dallas 2024,G2,Nuke,13 - 5,W
29/05/24,IEM Dallas 2024,G2,Inferno,8 - 13,L
28/05/24,IEM Dallas 2024,Complexity,Nuke,13 - 6,W
28/05/24,IEM Dallas 2024,Complexity,Ancient,13 - 11,W
28/05/24,IEM Dallas 2024,Complexity,Vertigo,16 - 19,L
27/05/24,IEM Dallas 2024,9z,Nuke,9 - 13,L
19/05/24,BetBoom Dacha Belgrade 2024,Spirit,Mirage,13 - 4,W
19/05/24,BetBoom Dacha Belgrade 2024,Spirit,Ancient,13 - 9,W
19/05/24,BetBoom Dacha Belgrade 2024,Spirit,Vertigo,13 - 11,W
18/05/24,BetBoom Dacha Belgrade 2024,HEROIC,Mirage,13 - 8,W
18/05/24,BetBoom Dacha Belgrade 2024,HEROIC,Dust2,13 - 9,W
16/05/24,BetBoom Dacha Belgrade 2024,Virtus.pro,Mirage,13 - 2,W
16/05/24,BetBoom Dacha Belgrade 2024,Virtus.pro,Vertigo,13 - 16,L
16/05/24,BetBoom Dacha Belgrade 2024,Virtus.pro,Dust2,13 - 4,W
14/05/24,BetBoom Dacha Belgrade 2024,BetBoom,Vertigo,16 - 12,W
14/05/24,BetBoom Dacha Belgrade 2024,BetBoom,Dust2,13 - 11,W
12/05/24,ESL Pro League Season 19,Vitality,Nuke,13 - 5,W
12/05/24,ESL Pro League Season 19,Vitality,Mirage,13 - 8,W
12/05/24,ESL Pro League Season 19,Vitality,Inferno,13 - 9,W
11/05/24,ESL Pro League Season 19,Complexity,Ancient,13 - 4,W
11/05/24,ESL Pro League Season 19,Complexity,Nuke,13 - 9,W
11/05/24,ESL Pro League Season 19,Complexity,Vertigo,8 - 13,L
09/05/24,ESL Pro League Season 19,G2,Nuke,13 - 4,W
09/05/24,ESL Pro League Season 19,G2,Vertigo,13 - 8,W
09/05/24,ESL Pro League Season 19,G2,Inferno,3 - 13,L
04/05/24,ESL Pro League Season 19,Liquid,Mirage,13 - 7,W
04/05/24,ESL Pro League Season 19,Liquid,Nuke,13 - 11,W
01/05/24,ESL Pro League Season 19,GamerLegion,Mirage,16 - 12,W
01/05/24,ESL Pro League Season 19,GamerLegion,Nuke,13 - 1,W
30/04/24,ESL Pro League Season 19,Bad News Kangaroos,Mirage,13 - 8,W
30/04/24,ESL Pro League Season 19,Bad News Kangaroos,Vertigo,13 - 3,W
14/04/24,IEM Chengdu 2024,FaZe,Nuke,6 - 13,L
14/04/24,IEM Chengdu 2024,FaZe,Overpass,10 - 13,L
13/04/24,IEM Chengdu 2024,G2,Overpass,13 - 10,W
13/04/24,IEM Chengdu 2024,G2,Ancient,7 - 13,L
13/04/24,IEM Chengdu 2024,G2,Nuke,13 - 8,W
10/04/24,IEM Chengdu 2024,Liquid,Mirage,13 - 6,W
10/04/24,IEM Chengdu 2024,Liquid,Inferno,13 - 11,W
08/04/24,IEM Chengdu 2024,FURIA,Mirage,13 - 9,W
08/04/24,IEM Chengdu 2024,FURIA,Vertigo,16 - 14,W
08/04/24,IEM Chengdu 2024,FURIA,Nuke,8 - 13,L
08/04/24,IEM Chengdu 2024,TYLOO,Overpass,13 - 11,W
29/03/24,PGL CS2 Major Copenhagen 2024,G2,Vertigo,6 - 13,L
29/03/24,PGL CS2 Major Copenhagen 2024,G2,Inferno,9 - 13,L
22/03/24,PGL CS2 Major Copenhagen 2024,Complexity,Ancient,13 - 2,W
22/03/24,PGL CS2 Major Copenhagen 2024,Complexity,Overpass,13 - 1,W
21/03/24,PGL CS2 Major Copenhagen 2024,Eternal Fire,Vertigo,13 - 11,W
21/03/24,PGL CS2 Major Copenhagen 2024,ECSTATIC,Overpass,13 - 11,W
20/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,Spirit,Mirage,13 - 11,W
20/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,Spirit,Vertigo,13 - 10,W
19/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,ECSTATIC,Overpass,13 - 8,W
19/02/24,PGL CS2 Major Copenhagen 2024 Europe RMR B,Guild Eagles,Ancient,16 - 14,W
10/02/24,IEM Katowice 2024,FaZe,Ancient,11 - 13,L
10/02/24,IEM Katowice 2024,FaZe,Nuke,3 - 13,L
06/02/24,IEM Katowice 2024,ENCE,Ancient,13 - 3,W
06/02/24,IEM Katowice 2024,ENCE,Vertigo,13 - 5,W
05/02/24,IEM Katowice 2024,GamerLegion,Ancient,13 - 6,W
05/02/24,IEM Katowice 2024,GamerLegion,Overpass,16 - 14,W
04/02/24,IEM Katowice 2024,Cloud9,Ancient,22 - 20,W
04/02/24,IEM Katowice 2024,Cloud9,Mirage,13 - 8,W
04/02/24,IEM Katowice 2024,Cloud9,Overpass,8 - 13,L
20/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,Preasy,Nuke,13 - 9,W
20/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,Preasy,Inferno,8 - 13,L
20/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,Preasy,Ancient,13 - 2,W
20/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,Spirit,Ancient,6 - 13,L
20/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,Spirit,Mirage,2 - 13,L
19/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,Eternal Fire,Nuke,8 - 13,L
19/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,Eternal Fire,Vertigo,13 - 10,W
19/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,Eternal Fire,Inferno,14 - 16,L
18/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,HEROIC,Ancient,16 - 12,W
18/01/24,PGL CS2 Major Copenhagen 2024 Europe RMR Closed Qualifier B,EYEBALLERS,Mirage,13 - 8,W
16/12/23,BLAST Premier World Final 2023,FaZe,Overpass,11 - 13,L
16/12/23,BLAST Premier World Final 2023,FaZe,Mirage,11 - 13,L
15/12/23,BLAST Premier World Final 2023,Cloud9,Ancient,13 - 7,W
15/12/23,BLAST Premier World Final 2023,Cloud9,Mirage,13 - 1,W
14/12/23,BLAST Premier World Final 2023,HEROIC,Mirage,13 - 5,W
14/12/23,BLAST Premier World Final 2023,HEROIC,Nuke,13 - 7,W
13/12/23,BLAST Premier World Final 2023,G2,Vertigo,11 - 13,L
13/12/23,BLAST Premier World Final 2023,G2,Ancient,10 - 13,L
01/12/23,Elisa Masters Espoo 2023,FURIA,Ancient,7 - 13,L
01/12/23,Elisa Masters Espoo 2023,FURIA,Mirage,11 - 13,L
30/11/23,Elisa Masters Espoo 2023,Complexity,Ancient,13 - 10,W
30/11/23,Elisa Masters Espoo 2023,Complexity,Inferno,13 - 11,W
30/11/23,Elisa Masters Espoo 2023,Complexity,Overpass,7 - 13,L
30/11/23,Elisa Masters Espoo 2023,Apeks,Inferno,16 - 19,L
12/11/23,CS Asia Championships 2023,FaZe,Nuke,18 - 22,L
12/11/23,CS Asia Championships 2023,FaZe,Mirage,7 - 13,L
12/11/23,CS Asia Championships 2023,Astralis,Vertigo,13 - 7,W
12/11/23,CS Asia Championships 2023,Astralis,Mirage,3 - 13,L
12/11/23,CS Asia Championships 2023,Astralis,Overpass,13 - 10,W
11/11/23,CS Asia Championships 2023,Lynn Vision,Inferno,13 - 7,W
11/11/23,CS Asia Championships 2023,Lynn Vision,Overpass,13 - 3,W
09/11/23,CS Asia Championships 2023,FaZe,Overpass,8 - 13,L
09/11/23,CS Asia Championships 2023,FaZe,Nuke,8 - 13,L
09/11/23,CS Asia Championships 2023,FaZe,Mirage,13 - 11,W
09/11/23,CS Asia Championships 2023,Wings Up,Inferno,13 - 2,W
03/11/23,Thunderpick World Championship 2023,FaZe,Ancient,4 - 13,L
03/11/23,Thunderpick World Championship 2023,FaZe,Nuke,8 - 13,L
03/11/23,Thunderpick World Championship 2023,FaZe,Vertigo,13 - 5,W
31/10/23,Thunderpick World Championship 2023,Complexity,Inferno,13 - 2,W
31/10/23,Thunderpick World Championship 2023,Complexity,Overpass,9 - 13,L
31/10/23,Thunderpick World Championship 2023,Complexity,Nuke,13 - 3,W
30/10/23,Thunderpick World Championship 2023,Spirit,Mirage,6 - 13,L
30/10/23,Thunderpick World Championship 2023,Spirit,Ancient,14 - 16,L
29/10/23,Thunderpick World Championship 2023,M80,Vertigo,13 - 11,W
29/10/23,Thunderpick World Championship 2023,M80,Ancient,13 - 7,W
21/10/23,IEM Sydney 2023,FaZe,Vertigo,9 - 13,L
21/10/23,IEM Sydney 2023,FaZe,Nuke,4 - 13,L
18/10/23,IEM Sydney 2023,BetBoom,Overpass,13 - 10,W
18/10/23,IEM Sydney 2023,BetBoom,Ancient,7 - 13,L
18/10/23,IEM Sydney 2023,BetBoom,Mirage,19 - 15,W
16/10/23,IEM Sydney 2023,Natus Vincere,Ancient,13 - 6,W
16/10/23,IEM Sydney 2023,Natus Vincere,Inferno,4 - 13,L
16/10/23,IEM Sydney 2023,Natus Vincere,Mirage,16 - 13,W
16/10/23,IEM Sydney 2023,VERTEX,Inferno,13 - 2,W
01/10/23,ESL Pro League Season 18,Natus Vincere,Mirage,19 - 15,W
01/10/23,ESL Pro League Season 18,Natus Vincere,Overpass,16 - 9,W
01/10/23,ESL Pro League Season 18,Natus Vincere,Inferno,16 - 10,W
30/09/23,ESL Pro League Season 18,ENCE,Nuke,16 - 8,W
30/09/23,ESL Pro League Season 18,ENCE,Vertigo,11 - 16,L
30/09/23,ESL Pro League Season 18,ENCE,Mirage,16 - 13,W
29/09/23,ESL Pro League Season 18,G2,Inferno,16 - 7,W
29/09/23,ESL Pro League Season 18,G2,Ancient,14 - 16,L
29/09/23,ESL Pro League Season 18,G2,Mirage,16 - 13,W
27/09/23,ESL Pro League Season 18,FaZe,Inferno,16 - 5,W
27/09/23,ESL Pro League Season 18,FaZe,Mirage,16 - 10,W
26/09/23,ESL Pro League Season 18,FURIA,Mirage,16 - 4,W
26/09/23,ESL Pro League Season 18,FURIA,Nuke,16 - 5,W
15/09/23,Pelaajat Nordic Masters Fall 2023 - BLAST Premier Qualifier,416Olsk,Ancient,10 - 16,L
15/09/23,Pelaajat Nordic Masters Fall 2023 - BLAST Premier Qualifier,Victory Zigzag,Overpass,16 - 19,L
15/09/23,Pelaajat Nordic Masters Fall 2023 - BLAST Premier Qualifier,DUSTY,Inferno,16 - 4,W
09/09/23,ESL Pro League Season 18,MIBR,Inferno,16 - 5,W
